title,media_type,collection,wikipedia_link
What If...?,TV Series,Marvel,https://en.wikipedia.org/wiki/What_If...%3F_(TV_series)
Hawkeye,TV Series,Marvel,https://en.wikipedia.org/wiki/Hawkeye_(miniseries)
Moon Knight,TV Series,Marvel,https://en.wikipedia.org/wiki/Moon_Knight_(miniseries)
Ms. Marvel,TV Series,Marvel,https://en.wikipedia.org/wiki/Ms._Marvel_(miniseries)
The Great British Bake Off,TV Series,,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off
MasterChef,TV Series,,https://en.wikipedia.org/wiki/MasterChef_(British_TV_series)
Trade Your Way to the USA,TV Series,,https://en.wikipedia.org/wiki/Trade_Your_Way_to_the_USA
Dragons' Den,TV Series,,https://en.wikipedia.org/wiki/Dragons%27_Den_(British_TV_programme)
Dark,TV Series,,https://en.wikipedia.org/wiki/Dark_(TV_series)
Black Mirror,TV Series,,https://en.wikipedia.org/wiki/Black_Mirror
Band of Brothers,TV Series,,https://en.wikipedia.org/wiki/Band_of_Brothers_(miniseries)
Atlanta,TV Series,Donald Glover,https://en.wikipedia.org/wiki/Atlanta_(TV_series)
The Sopranos,TV Series,,https://en.wikipedia.org/wiki/The_Sopranos
The Wire,TV Series,,https://en.wikipedia.org/wiki/The_Wire
True Detective,TV Series,,https://en.wikipedia.org/wiki/True_Detective
The Crown,TV Series,,https://en.wikipedia.org/wiki/The_Crown_(TV_series)
Narcos,TV Series,,https://en.wikipedia.org/wiki/Narcos
Sherlock,TV Series,Arthur Conan Doyle,https://en.wikipedia.org/wiki/Sherlock_(TV_series)
Mahabharat,TV Series,B. R. Chopra,https://en.wikipedia.org/wiki/Mahabharat_(1988_TV_series)
The Twilight Zone,TV Series,,https://en.wikipedia.org/wiki/The_Twilight_Zone_(1959_TV_series)
Endless,Music,Frank Ocean,https://en.wikipedia.org/wiki/Endless_(Frank_Ocean_album)
Blonde,Music,Frank Ocean,https://en.wikipedia.org/wiki/Blonde_(Frank_Ocean_album)
Channel Orange,Music,Frank Ocean,https://en.wikipedia.org/wiki/Channel_Orange
"Nostalgia, Ultra",Music,Frank Ocean,"https://en.wikipedia.org/wiki/Nostalgia,_Ultra"
Dawn FM,Music,The Weeknd,https://en.wikipedia.org/wiki/Dawn_FM
After Hours,Music,The Weeknd,https://en.wikipedia.org/wiki/After_Hours_(The_Weeknd_album)
Starboy,Music,The Weeknd,https://en.wikipedia.org/wiki/Starboy_(album)
Beauty Behind the Madness,Music,The Weeknd,https://en.wikipedia.org/wiki/Beauty_Behind_the_Madness
Kiss Land,Music,The Weeknd,https://en.wikipedia.org/wiki/Kiss_Land
Echoes of Silence,Music,The Weeknd,https://en.wikipedia.org/wiki/Echoes_of_Silence
Thursday,Music,The Weeknd,https://en.wikipedia.org/wiki/Thursday_(album)
House of Balloons,Music,The Weeknd,https://en.wikipedia.org/wiki/House_of_Balloons
King of the Fall,Music,The Weeknd,https://en.wikipedia.org/wiki/King_of_the_Fall
New Blue Sun,Music,André 3000,https://en.wikipedia.org/wiki/New_Blue_Sun
Days Before Rodeo,Music,Travis Scott,https://en.wikipedia.org/wiki/Days_Before_Rodeo
Rodeo,Music,Travis Scott,https://en.wikipedia.org/wiki/Rodeo_(Travis_Scott_album)
